,theta_mu,lb,ub,p_value,mu,alpha[0],alpha[1],alpha[2],alpha[3],alpha[4],alpha[5],alpha[6],alpha[7],alpha[8],beta[0],beta[1],gamma[0],gamma[1],gamma[2]
AUM -> Ablation 1,0.94799,0.88122,0.97963,0.0,2.903,0.362,0.364,0.37,-2.184,0.365,0.359,0.367,0.367,0.365,0.356,0.358,0.001,0.358,0.359
AUM -> Ablation 2,0.58173,0.35595,0.77329,0.23125,0.33,1.374,1.824,1.827,-2.303,-0.467,-0.177,-0.235,-1.804,0.004,-0.658,0.716,-0.247,0.08,0.229
AUM -> CleanLab,0.97468,0.93321,0.9913,0.0,3.65,0.196,0.18,0.19,-0.599,0.192,0.192,0.189,0.184,0.181,0.46,0.456,0.202,0.192,0.522
AUM -> Normalized Margins,0.49436,0.2909,0.70599,0.52825,-0.023,0.621,-0.269,0.932,-0.089,-0.953,-0.695,1.2,1.273,-2.047,-0.276,0.259,-0.827,-0.023,0.848
AUM -> Self-Confidence,0.4792,0.27568,0.68826,0.5725,-0.083,0.2,-0.249,0.081,-0.056,-0.644,0.142,1.217,1.442,-2.135,-1.02,0.999,-0.614,0.036,0.545
Ablation 1 -> Ablation 2,0.07846,0.03233,0.17697,1.0,-2.464,-0.595,-0.581,2.063,0.903,-0.585,-0.42,-0.585,-0.585,-0.273,-1.067,0.436,-0.409,-0.2,-0.014
Ablation 1 -> CleanLab,0.85797,0.71809,0.93444,0.00013,1.799,-1.634,-1.865,0.838,0.089,0.696,0.833,0.838,0.838,-0.201,0.715,-0.249,0.339,0.066,0.066
Ablation 1 -> Normalized Margins,0.0594,0.02309,0.13435,1.0,-2.762,-0.446,-0.449,0.947,1.531,-0.452,-0.451,-0.452,-0.454,-0.449,-0.655,-0.035,-0.805,-0.389,0.501
Ablation 1 -> Self-Confidence,0.08832,0.03726,0.18908,1.0,-2.334,-0.716,-0.715,1.382,1.063,0.087,0.204,-0.42,-0.722,-0.719,-1.053,0.462,-1.181,-0.009,0.611
Ablation 2 -> CleanLab,0.97464,0.93125,0.99116,0.0,3.649,0.196,0.19,0.185,-0.606,0.19,0.191,0.196,0.184,0.192,0.461,0.463,0.202,0.195,0.528
Ablation 2 -> Normalized Margins,0.3086,0.15842,0.52273,0.96212,-0.807,0.104,-0.51,-1.431,0.641,-0.843,-0.671,2.046,1.913,-1.437,-0.066,-0.134,-0.625,-0.12,0.561
Ablation 2 -> Self-Confidence,0.41091,0.22322,0.61893,0.7865,-0.36,-0.128,-0.975,-0.6,0.197,-0.463,0.512,1.648,1.649,-1.912,-0.909,0.821,-0.859,0.063,0.705
CleanLab -> Normalized Margins,0.02518,0.00935,0.06946,1.0,-3.656,-0.194,-0.193,-0.192,0.602,-0.187,-0.183,-0.191,-0.193,-0.191,-0.455,-0.457,-0.195,-0.193,-0.513
CleanLab -> Self-Confidence,0.02787,0.01086,0.07283,1.0,-3.552,-0.209,-0.213,0.0,0.578,-0.213,-0.2,-0.208,-0.209,-0.21,-0.508,-0.38,-0.237,-0.247,-0.389
Normalized Margins -> Self-Confidence,0.42363,0.24104,0.63969,0.74988,-0.308,0.261,0.493,0.261,-1.797,0.034,0.408,1.254,-0.35,-0.657,-1.528,1.445,-0.472,-0.049,0.439
